id,name,geometry,buildstart,opening,closure,city_id
1993,"",POINT(116.29834193988 39.8469442224709),2013,2019,999999,15
1990,"",POINT(116.32779536055 39.8772382826868),2013,2019,999999,15
1995,"",POINT(116.279098945581 39.8348542633696),2013,2019,999999,15
1317,"",POINT(-0.197760606442046 51.5088653308324),1891,1900,999999,69
2150,"",POINT(-0.179215521036184 51.6302813824923),1940,1940,999999,69
2152,"",POINT(-0.392040604390075 51.6525189460378),1912,2007,999999,69
2154,"",POINT(-0.384929401221171 51.645536785093),1841,1841,999999,69
2157,"",POINT(-0.367970790896521 51.6093486248757),1842,1844,2007,69
2159,"",POINT(-0.335939785985914 51.5918332233274),1912,2007,999999,69
1798,"",POINT(116.410669361335 39.9757905485206),2003,2008,999999,15
2162,"",POINT(-0.300724651752262 51.5410411503041),1932,1932,999999,69
1302,"",POINT(-0.0162047770024856 51.4999912558559),1985,1987,999999,69
1303,"",POINT(-0.08906216338832 51.5127738935768),1987,1991,999999,69
1374,La Viga,POINT(-99.124558370187 19.3980832720142),2007,2008,999999,78
1304,"",POINT(-0.0115908414768739 51.4649320093104),1996,1999,999999,69
4507,Garibaldi,POINT(2.33189483309039 48.9062185195911),,1952,999999,95
1311,"",POINT(-0.262863226731127 51.508787739884),1860,2007,999999,69
1318,"",POINT(-0.205621597369657 51.5072061494819),1891,1900,999999,69
1360,CCH Oriente,POINT(-99.0607808938439 19.3833394533743),2007,2008,999999,78
1321,"",POINT(-0.158634979979922 51.5132404666624),1891,1900,999999,69
1359,Constitución de Apatzingán,POINT(-99.0598324408773 19.3890545708631),2007,2008,999999,78
1324,"",POINT(-0.130730044535795 51.5165336972893),1891,1900,999999,69
1358,General Antonio de León,POINT(-99.0517000542463 19.3853954086203),2007,2008,999999,78
1326,"",POINT(-0.111572074954665 51.5181608419171),1891,1900,999999,69
1330,"",POINT(-0.105768321334097 51.5584097686935),1901,1906,999999,69
1331,"",POINT(-0.112878744454321 51.5525735298463),1901,1906,999999,69
1333,"",POINT(-0.122824090245871 51.5303042563947),1901,1906,999999,69
1375,Andrés Molina,POINT(-99.1296902033797 19.3976988062855),2007,2008,999999,78
1336,"",POINT(-0.128207322102298 51.5116063346358),1901,1906,999999,69
1337,"",POINT(-0.134348643145955 51.509684056424),1901,1906,999999,69
1339,"",POINT(-0.15282921980085 51.5027091771724),1901,1906,999999,69
1340,"",POINT(-0.160526311502764 51.5015113445827),1901,1906,999999,69
1342,"",POINT(-0.183429854629111 51.4942652466613),1901,1906,999999,69
1343,"",POINT(-0.192112549548284 51.4918398841116),1901,1906,999999,69
1345,"",POINT(-0.223915651031689 51.4920220475002),1901,1906,999999,69
1362,Del Moral,POINT(-99.0708963066242 19.3842589255347),2007,2008,999999,78
1346,"",POINT(-0.103123147904057 51.510849567119),1864,1866,999999,69
1361,Leyes de Reforma,POINT(-99.0658177248664 19.3834765301221),2007,2008,999999,78
1347,"",POINT(-0.103276847500382 51.5083450224594),1864,1864,1964,69
1348,"",POINT(-0.0984210696281878 51.4945254476952),1862,1862,999999,69
1376,Las Américas,POINT(-99.1343169882017 19.3934900432563),2007,2008,999999,78
1349,"",POINT(-0.102223022927632 51.4663621755818),1863,1863,999999,69
1363,Río Frío,POINT(-99.0742740045877 19.3876473312085),2007,2008,999999,78
1350,"",POINT(-0.102518770144428 51.4537932958741),1862,1862,999999,69
1351,"",POINT(-0.103602721170262 51.5140284620428),1990,1990,999999,69
1364,Rojo Gomez,POINT(-99.0763636313519 19.3845496850158),2007,2008,999999,78
1353,"",POINT(-0.104781906623373 51.5038392267919),1993,1999,999999,69
1354,"",POINT(-0.176615548650034 51.5163105638503),1835,1838,999999,69
1355,Canal de San Juan,POINT(-99.0565109313296 19.3967746803955),2007,2008,999999,78
1365,Río Mayo,POINT(-99.0800072472055 19.386991749783),2007,2008,999999,78
1377,Xola,POINT(-99.1402429224918 19.3944094144311),2007,2008,999999,78
1366,Río Tecolutla,POINT(-99.0831129671323 19.3890664526397),2007,2008,999999,78
1356,Nicolás Bravo,POINT(-99.050903268582 19.3935293010513),2007,2008,999999,78
1357,Tepalcates,POINT(-99.0474373063985 19.3908072188444),2007,2008,999999,78
1386,Escandón,POINT(-99.1738421491206 19.4044066309436),2007,2008,999999,78
1378,Álamos,POINT(-99.1429187527855 19.3947937032611),2007,2008,999999,78
1367,El Rodeo,POINT(-99.0870555049635 19.3916049420062),2007,2008,999999,78
1368,UPIICSA,POINT(-99.0904011601174 19.3938657434531),2007,2008,999999,78
1369,Iztacalco,POINT(-99.096043029349 19.3965220578522),2007,2008,999999,78
1379,Centro SCOP,POINT(-99.1467332085277 19.3952801526777),2007,2008,999999,78
1370,Goma,POINT(-99.0999676263405 19.3969109326479),2007,2008,999999,78
1371,Tlacotal,POINT(-99.1038424638525 19.3972610577185),2007,2008,999999,78
1401,"",POINT(-0.2386651298728 51.5799049186531),1863,1868,999999,69
1372,Tlacotal,POINT(-99.1093299820447 19.3979027377028),2007,2008,999999,78
1380,Doctor Vértiz,POINT(-99.1517844657167 19.3955901965486),2007,2008,999999,78
1373,Coyuya,POINT(-99.1168395292279 19.3982892882432),2007,2008,999999,78
1387,Patriotismo,POINT(-99.177410816547 19.4055692170375),2007,2008,999999,78
1381,Etiopía,POINT(-99.1550638984562 19.3958138362133),2007,2008,999999,78
1393,"",POINT(-0.131360322848451 51.4259505987595),1868,1868,999999,69
1382,Amores,POINT(-99.1637765629708 19.3968537939543),2007,2008,999999,78
1388,De La Salle,POINT(-99.1834757356462 19.4075733698436),2007,2008,999999,78
1383,Viaducto,POINT(-99.1680787106088 19.4012921489066),2007,2008,999999,78
1384,Nuevo León,POINT(-99.1704295660111 19.4034994333804),2007,2008,999999,78
1398,"",POINT(-0.139990167556817 51.5505727895096),1863,1868,999999,69
1389,Antonio Maceo,POINT(-99.1858885331834 19.40487098127),2007,2008,999999,78
1394,"",POINT(-0.161138720688399 51.4198870556582),1894,1894,999999,69
1390,Tacubaya,POINT(-99.1870100670198 19.4019461362426),2007,2008,999999,78
1391,Parque Lira,POINT(-99.1890326136815 19.4077481658826),2007,2008,999999,78
1392,"",POINT(-0.105236605597042 51.4395804884552),1868,1868,999999,69
1395,"",POINT(-0.188798760437777 51.4254126686535),1868,1868,999999,69
1396,"",POINT(-0.205910950279701 51.4208914191519),1868,1868,999999,69
1397,St Pancras (Thameslink),POINT(-0.125733394663001 51.5321614839376),2004,2007,999999,69
1400,"",POINT(-0.212772903005714 51.5582389879173),1868,1870,999999,69
1352,Kings Cross (Thameslink),POINT(-0.121452713415494 51.5302265625378),1863,1868,2007,69
1399,"",POINT(-0.192034803177933 51.5484184826414),1868,1871,999999,69
1402,"",POINT(-0.249755178327518 51.6133639520303),1863,1868,999999,69
