id,section_id,line_id,created_at,updated_at,city_id
2494,1278,343,2017-11-21 00:00:00,2017-11-21 00:00:00,252
4124,4477,779,2017-11-21 00:09:55.135507,2017-11-21 00:09:55.135507,63
2495,21,9,2017-11-21 00:00:00,2017-11-21 00:00:00,1
2496,940,228,2017-11-21 00:00:00,2017-11-21 00:00:00,79
4129,4478,793,2017-11-21 17:44:39.765832,2017-11-21 17:44:39.765832,48
4139,4483,797,2017-11-23 21:51:04.515237,2017-11-23 21:51:04.515237,114
4180,4522,657,2017-11-30 17:36:52.150194,2017-11-30 17:36:52.150194,1
4181,4523,657,2017-11-30 18:02:36.400933,2017-11-30 18:02:36.400933,1
4182,4524,657,2017-11-30 18:02:36.429198,2017-11-30 18:02:36.429198,1
4184,4526,657,2017-11-30 18:50:01.420808,2017-11-30 18:50:01.420808,1
4185,4527,657,2017-11-30 18:58:14.872085,2017-11-30 18:58:14.872085,1
4186,4528,561,2017-11-30 20:32:01.357376,2017-11-30 20:32:01.357376,1
4187,4529,561,2017-11-30 23:12:46.570124,2017-11-30 23:12:46.570124,1
4201,4541,820,2017-12-03 00:55:35.901187,2017-12-03 00:55:35.901187,231
4202,4541,819,2017-12-03 00:55:35.903164,2017-12-03 00:55:35.903164,231
4203,4541,818,2017-12-03 00:55:35.90509,2017-12-03 00:55:35.90509,231
4207,4549,548,2017-12-03 13:26:39.657103,2017-12-03 13:26:39.657103,147
4208,4550,552,2017-12-03 13:26:39.670924,2017-12-03 13:26:39.670924,147
4209,4550,554,2017-12-03 13:26:39.673766,2017-12-03 13:26:39.673766,147
4210,4550,553,2017-12-03 13:26:39.676606,2017-12-03 13:26:39.676606,147
4329,4660,822,2017-12-05 17:35:01.994658,2017-12-05 17:35:01.994658,114
4330,4661,822,2017-12-05 17:38:51.175604,2017-12-05 17:38:51.175604,114
4331,4662,824,2017-12-05 17:43:53.782815,2017-12-05 17:43:53.782815,114
4332,4663,824,2017-12-05 17:45:21.870029,2017-12-05 17:45:21.870029,114
4333,4664,824,2017-12-05 17:45:21.887708,2017-12-05 17:45:21.887708,114
4334,4665,681,2017-12-05 20:07:58.815285,2017-12-05 20:07:58.815285,114
4344,4674,830,2017-12-05 21:45:24.814861,2017-12-05 21:45:24.814861,114
4345,4675,830,2017-12-05 21:47:54.506076,2017-12-05 21:47:54.506076,114
4347,4676,831,2017-12-05 21:51:45.45289,2017-12-05 21:51:45.45289,114
4371,4699,832,2017-12-07 22:29:11.197717,2017-12-07 22:29:11.197717,114
4374,4702,832,2017-12-08 05:28:55.970141,2017-12-08 05:28:55.970141,114
4375,4703,832,2017-12-08 05:28:55.997953,2017-12-08 05:28:55.997953,114
4408,4726,658,2017-12-11 17:46:13.252064,2017-12-11 17:46:13.252064,1
4412,4730,658,2017-12-11 19:48:00.094409,2017-12-11 19:48:00.094409,1
4413,4731,658,2017-12-11 19:57:49.261252,2017-12-11 19:57:49.261252,1
4414,4732,658,2017-12-11 19:57:49.273482,2017-12-11 19:57:49.273482,1
4416,4734,658,2017-12-11 20:46:38.36089,2017-12-11 20:46:38.36089,1
4417,4735,658,2017-12-11 21:12:24.654828,2017-12-11 21:12:24.654828,1
4418,4736,658,2017-12-11 21:12:24.666351,2017-12-11 21:12:24.666351,1
4419,4737,658,2017-12-11 21:12:24.681379,2017-12-11 21:12:24.681379,1
4420,4738,658,2017-12-11 21:12:24.693007,2017-12-11 21:12:24.693007,1
4421,4739,658,2017-12-11 21:47:02.201065,2017-12-11 21:47:02.201065,1
4422,4740,658,2017-12-11 21:47:02.213616,2017-12-11 21:47:02.213616,1
4426,4743,843,2017-12-11 21:58:51.705609,2017-12-11 21:58:51.705609,114
4427,4744,843,2017-12-11 22:01:11.52389,2017-12-11 22:01:11.52389,114
4432,4748,844,2017-12-11 22:12:47.141135,2017-12-11 22:12:47.141135,114
4561,4876,853,2017-12-14 01:31:56.575326,2017-12-14 01:31:56.575326,111
4562,4877,853,2017-12-14 01:31:56.606474,2017-12-14 01:31:56.606474,111
